Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
0.80,0,0.05,50,50,13189693.00,9379906.76
0.60,0,0.05,50,50,13203025.00,10484546.16
1.00,0,0.10,50,50,12954504.00,8708140.60
0.80,0,0.10,50,50,13287335.00,9395080.56
0.60,0,0.10,50,50,13194509.00,6862797.74
1.00,2,0.01,50,50,13124665.00,11470689.92
0.80,2,0.01,50,50,13210139.00,11319160.26
0.60,2,0.01,50,50,13246953.00,11217551.66
1.00,2,0.05,50,50,13143004.00,11481831.44
0.80,2,0.05,50,50,13182410.00,10902496.94
0.60,2,0.05,50,50,13283477.00,8652709.26
1.00,2,0.10,50,50,13210902.00,9727385.06
0.80,2,0.10,50,50,13391325.00,11132694.82
0.60,2,0.10,50,50,13360312.00,8502390.04
1.00,2,0.01,50,50,13264578.00,12164188.06
0.80,2,0.01,50,50,13217631.00,12493124.18
0.60,2,0.01,50,50,13178668.00,11816688.10
1.00,2,0.05,50,50,13270623.00,11049234.54
0.80,2,0.05,50,50,13255888.00,9075878.82
0.60,2,0.05,50,50,13348944.00,10739018.96
1.00,2,0.10,50,50,13340633.00,8869404.52
0.80,2,0.10,50,50,13409079.00,11008527.82
0.60,2,0.10,50,50,13255964.00,8100801.30
1.00,6,0.01,50,50,13090518.00,11506973.44
0.80,6,0.01,50,50,13136839.00,12012925.54
0.60,6,0.01,50,50,13162228.00,12028417.40
1.00,6,0.05,50,50,13337320.00,12113119.42
0.80,6,0.05,50,50,13152526.00,11315386.70
0.60,6,0.05,50,50,13366436.00,11270147.82
1.00,6,0.10,50,50,13390551.00,11350133.48
0.80,6,0.10,50,50,13304171.00,9551737.76
0.60,6,0.10,50,50,13332881.00,11751459.92
1.00,10,0.01,50,50,13388144.00,13222687.70
0.80,10,0.01,50,50,13193710.00,12071608.32
0.60,10,0.01,50,50,13199720.00,12349285.10
1.00,10,0.05,50,50,13207799.00,12943226.38
0.80,10,0.05,50,50,13295392.00,10937649.70
0.60,10,0.05,50,50,13306670.00,11641709.44
1.00,10,0.10,50,50,13228674.00,11574336.10
0.80,10,0.10,50,50,13209201.00,10081993.60
0.60,10,0.10,50,50,13420583.00,11113646.32
1.00,0,0.01,75,50,13106552.00,10054640.00
0.80,0,0.01,75,50,13256896.00,11501120.62
0.60,0,0.01,75,50,13063966.00,8209454.78
1.00,0,0.05,75,50,13043604.00,10971186.60
0.80,0,0.05,75,50,13017833.00,8839762.80
0.60,0,0.05,75,50,13071746.00,8377797.20
1.00,0,0.10,75,50,12732041.00,9261235.80
0.80,0,0.10,75,50,12877672.00,8288352.74
0.60,0,0.10,75,50,12929209.00,8983846.92
1.00,2,0.01,75,50,13314931.00,12823011.28
0.80,2,0.01,75,50,13306549.00,11508808.10
0.60,2,0.01,75,50,13394770.00,10446407.44
1.00,2,0.05,75,50,13346673.00,11475915.66
0.80,2,0.05,75,50,13178190.00,12066240.30
0.60,2,0.05,75,50,13056622.00,9754754.46
1.00,2,0.10,75,50,13390040.00,11343115.24
0.80,2,0.10,75,50,13312643.00,10131973.88
0.60,2,0.10,75,50,13338441.00,9601864.94
1.00,2,0.01,75,50,13110495.00,12646296.16
0.80,2,0.01,75,50,13321092.00,11657264.54
0.60,2,0.01,75,50,13393489.00,10524514.50
1.00,2,0.05,75,50,13336826.00,12386175.92
0.80,2,0.05,75,50,13214900.00,11032030.80
0.60,2,0.05,75,50,13352520.00,8975247.08
1.00,2,0.10,75,50,13378310.00,9817973.14
0.80,2,0.10,75,50,13255845.00,10209327.88
0.60,2,0.10,75,50,13293703.00,6938873.56
1.00,6,0.01,75,50,13324950.00,10028183.74
0.80,6,0.01,75,50,13290562.00,12259447.88
0.60,6,0.01,75,50,13114430.00,11009276.00
1.00,6,0.05,75,50,13169457.00,11649463.08
0.80,6,0.05,75,50,13196058.00,11187549.16
0.60,6,0.05,75,50,13312731.00,11092770.24
1.00,6,0.10,75,50,13224257.00,11526384.46
0.80,6,0.10,75,50,13326373.00,10948004.98
0.60,6,0.10,75,50,13195402.00,10876907.50
1.00,10,0.01,75,50,13216595.00,11508666.12
0.80,10,0.01,75,50,13283811.00,12456085.16
0.60,10,0.01,75,50,13252167.00,12426360.00
1.00,10,0.05,75,50,13269476.00,11900080.60
0.80,10,0.05,75,50,13251047.00,11427301.18
0.60,10,0.05,75,50,13317564.00,11679035.02
1.00,10,0.10,75,50,13418384.00,11810238.32
0.80,10,0.10,75,50,13404547.00,11768812.74
0.60,10,0.10,75,50,13111610.00,10818243.90
1.00,0,0.01,100,50,13047772.00,9862465.10
0.80,0,0.01,100,50,13037073.00,9146953.24
0.60,0,0.01,100,50,12995831.00,10777423.60
